datetime,power,capacity,spot_price_prediction
2021-01-02 23:00:00,-300.0,15.0,21.331138737016857
2021-01-02 23:30:00,0.0,150.0,27.21383699733275
2021-01-03 00:00:00,300.0,150.0,34.69439385382543
2021-01-03 00:30:00,0.0,0.0,26.31096490076672
2021-01-03 01:00:00,0.0,0.0,17.4072564056725
2021-01-03 01:30:00,0.0,0.0,15.49461560488109
2021-01-03 02:00:00,0.0,0.0,10.20496591656712
2021-01-03 02:30:00,0.0,0.0,7.686781064558886
2021-01-03 03:00:00,-88.8888888888889,0.0,4.469609001190975
2021-01-03 03:30:00,0.0,40.0,4.814065383529751
2021-01-03 04:00:00,-300.0,40.0,3.799022421891493
2021-01-03 04:30:00,-300.0,175.0,3.388854815053648
2021-01-03 05:00:00,-300.0,310.0,3.2342109006471844
2021-01-03 05:30:00,-300.0,445.0,3.915134577620634
2021-01-03 06:00:00,0.0,580.0,4.717735871002105
2021-01-03 06:30:00,0.0,580.0,6.021776744148752
2021-01-03 07:00:00,0.0,580.0,5.671328282981492
2021-01-03 07:30:00,0.0,580.0,5.680235879678804
2021-01-03 08:00:00,0.0,580.0,5.497028000023562
2021-01-03 08:30:00,0.0,580.0,6.322282297756473
2021-01-03 09:00:00,0.0,580.0,6.389297187565859
2021-01-03 09:30:00,0.0,580.0,6.086928174499533
2021-01-03 10:00:00,0.0,580.0,7.660628955544851
2021-01-03 10:30:00,0.0,580.0,11.244570357773398
2021-01-03 11:00:00,0.0,580.0,21.459814791015248
2021-01-03 11:30:00,0.0,580.0,21.32160029482665
2021-01-03 12:00:00,0.0,580.0,22.871808878726384
2021-01-03 12:30:00,0.0,580.0,22.64552350700285
2021-01-03 13:00:00,0.0,580.0,21.700008272822856
2021-01-03 13:30:00,0.0,580.0,23.573130474644984
2021-01-03 14:00:00,0.0,580.0,31.861140865009475
2021-01-03 14:30:00,0.0,580.0,34.951516731005924
2021-01-03 15:00:00,0.0,580.0,32.884538781031395
2021-01-03 15:30:00,0.0,580.0,34.7795743677225
2021-01-03 16:00:00,0.0,580.0,33.886929569511096
2021-01-03 16:30:00,0.0,580.0,27.941721751712805
2021-01-03 17:00:00,0.0,580.0,35.58960186956679
2021-01-03 17:30:00,300.0,580.0,38.6029247269055
2021-01-03 18:00:00,300.0,430.0,39.66662193188819
2021-01-03 18:30:00,260.0,280.0,38.539580797756514
2021-01-03 19:00:00,300.0,150.0,39.328888649929766
2021-01-03 19:30:00,0.0,0.0,35.05074546993181
2021-01-03 20:00:00,0.0,0.0,33.73396705005614
2021-01-03 20:30:00,0.0,0.0,31.798352465070963
2021-01-03 21:00:00,0.0,0.0,28.88515185393477
2021-01-03 21:30:00,0.0,0.0,26.38411951300044
2021-01-03 22:00:00,0.0,0.0,21.02797547262368
2021-01-03 22:30:00,-300.0,0.0,18.452215755170627
2021-01-03 23:00:00,-300.0,135.0,15.318335850388197
2021-01-03 23:30:00,0.0,270.0,20.41235020141501
2021-01-04 00:00:00,300.0,270.0,31.208631094850677
2021-01-04 00:30:00,240.0,120.0,23.8822548028398
2021-01-04 01:00:00,0.0,0.0,18.265008418296247
2021-01-04 01:30:00,0.0,0.0,14.322203783047511
2021-01-04 02:00:00,-88.8888888888889,0.0,8.845685350140599
2021-01-04 02:30:00,-300.0,40.0,7.103827739805894
2021-01-04 03:00:00,-300.0,175.0,6.138479096949965
